TransactionAmount,PreviousTransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,Cluster
0.007207441957422414,0.27364185110663986,0.5,0.8372093023255813,0.0,0.8387096774193548,0.0,0.24482758620689654,0.0,0.33683185966818,0.2916666666666667,2
0.1959402767282487,0.47404426559356133,0.5,0.3488372093023256,0.0,0.8064516129032258,0.0,0.45172413793103444,0.0,0.9180546275595326,0.5333333333333333,0
0.0656799645621075,0.5078470824949698,0.5,0.5348837209302325,0.6666666666666666,0.016129032258064557,0.75,0.1586206896551724,0.0,0.06863734931174438,0.11388888888888889,1
0.0960158428225239,0.3291750503018109,0.5,0.7674418604651163,0.6666666666666666,0.12903225806451613,0.75,0.05172413793103449,0.0,0.569197956003802,0.4527777777777778,1
0.04788805795137713,0.25553319919517103,0.5,0.6511627906976745,0.0,0.0,0.75,0.5586206896551724,0.0,0.045737843102722775,0.036111111111111115,1
0.003554212158323996,0.12313883299798792,0.0,0.9069767441860465,0.0,0.30645161290322587,0.0,0.44482758620689655,0.0,0.8883303734554748,0.6277777777777778,0
0.08919925997342157,0.33682092555331994,0.0,0.37209302325581395,0.3333333333333333,0.7903225806451613,0.5,0.9689655172413792,0.0,0.18115460779713835,0.7527777777777778,2
0.05522578627823957,0.22414486921529175,0.0,0.2558139534883721,0.3333333333333333,0.532258064516129,0.25,0.26206896551724135,0.0,0.6045605421617909,0.8055555555555556,0
0.4250983662089272,0.2454728370221328,0.5,0.6046511627906976,0.0,0.5967741935483871,0.0,0.3793103448275862,0.0,0.06188385358620237,0.025,2
0.009130468770357246,0.20764587525150904,0.0,0.0,0.6666666666666666,0.5483870967741935,0.25,0.16896551724137931,0.0,0.5040264197666963,0.061111111111111116,0
0.09889256585975975,0.09416498993963783,0.5,0.5116279069767442,0.6666666666666666,0.04838709677419356,0.75,0.5620689655172414,0.0,0.09595919536134934,0.13611111111111113,1
0.2575813638377153,0.41730382293762575,0.0,0.5348837209302325,0.3333333333333333,0.09677419354838712,0.75,0.3482758620689655,0.0,0.10209024288923516,0.375,1
0.40727519086953123,0.8744466800804829,0.5,0.5116279069767442,0.0,0.12903225806451613,0.75,0.3896551724137931,0.0,0.005944850820811549,0.11944444444444445,1
0.08689058550694426,0.11388329979879275,0.5,0.4883720930232558,0.6666666666666666,0.0,0.75,0.4275862068965517,0.0,0.013355076448200345,0.6277777777777778,1
0.2424316647992287,0.9472837022132796,0.5,0.23255813953488372,0.0,0.29032258064516125,0.25,0.4103448275862069,0.0,0.22614430312017286,0.9861111111111112,2
0.2895171587148552,0.8173038229376257,0.0,0.046511627906976744,0.3333333333333333,0.016129032258064557,0.75,0.5103448275862069,0.0,0.06923627084966197,0.2,1
0.2567527425280767,0.9525150905432596,0.5,0.18604651162790697,0.6666666666666666,0.33870967741935487,0.25,0.7724137931034483,0.0,0.3366812890458528,0.9083333333333333,0
0.00959949970034135,0.1420523138832998,0.0,0.0,0.3333333333333333,0.6612903225806451,0.5,0.3310344827586207,0.0,0.5274757776233234,0.9361111111111111,2
0.037115980926075515,0.4225352112676056,0.0,0.18604651162790697,0.6666666666666666,0.0,0.75,0.5482758620689655,0.0,0.4347283074114356,0.4916666666666667,1
0.030778851916512494,0.16619718309859155,0.5,0.46511627906976744,0.3333333333333333,0.8548387096774193,0.5,0.09655172413793102,0.0,0.3797633083592239,0.5027777777777778,2
0.04456314980326758,0.5951710261569416,0.5,0.4418604651162791,0.3333333333333333,0.32258064516129037,0.0,0.2862068965517241,0.0,0.607992073532239,0.3055555555555556,0
0.027068296114860464,0.4140845070422535,0.5,0.023255813953488372,0.6666666666666666,0.33870967741935487,0.25,0.3793103448275862,0.0,0.5964801428269905,0.10555555555555556,0
0.18009745420434112,0.3227364185110664,0.5,0.3023255813953488,0.6666666666666666,0.06451612903225812,0.75,0.4551724137931034,0.5,0.0874687599568185,0.11388888888888889,1
